ID,title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
1,'Manos' the Hands of Fate,1960s,74,19000,1.6,7996,74.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
2,'Til There Was You,1990s,113,23000000,4.8,799,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,PG-13,0,0,1,0,0,1,0
3,10 Things I Hate About You,1990s,97,16000000,6.7,19095,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,PG-13,0,0,1,0,0,1,0
4,102 Dalmatians,2000s,100,85000000,4.7,1987,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
5,12 Angry Men,1950s,96,340000,8.7,29278,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,34.5,,0,0,0,1,0,0,0
6,13 Going On 30,2000s,98,37000000,6.4,7859,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,PG-13,0,0,1,1,0,1,0
7,"13th Warrior, The",1990s,102,85000000,6.1,14344,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,1,0,0,0,0,0,0
8,1492: Conquest of Paradise,1990s,154,47000000,6,3379,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
9,15 Minutes,2000s,120,42000000,6.1,10866,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
10,1776,1970s,180,4000000,7.3,1754,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,PG,0,0,0,1,0,0,0
11,1900,1970s,245,9000000,7.5,2408,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
12,1941,1970s,146,35000000,5.6,5536,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
13,2 Fast 2 Furious,2000s,107,76000000,5.1,9556,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,0,0
14,20 Dates,1990s,87,60000,5.4,841,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,R,0,0,1,0,1,1,0
15,200 Cigarettes,1990s,101,6000000,5.4,4514,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,R,0,0,1,1,0,0,0
16,20000 Leagues Under the Sea,1950s,127,5000000,7.1,2741,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
17,2001: A Space Odyssey,1960s,156,10500000,8.3,64982,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,34.5,,0,0,0,0,0,0,0
18,2001: A Space Travesty,2000s,99,26000000,2.5,2023,44.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,R,0,0,1,0,0,0,0
19,2046,2000s,129,12000000,7.6,2663,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,R,0,0,0,1,0,1,0
20,21 Grams,2000s,124,20000000,8,21857,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,R,0,0,0,1,0,0,0
21,25th Hour,2000s,135,15000000,7.8,15788,4.5,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,14.5,R,0,0,0,1,0,0,0
22,28 Days,2000s,103,43000000,6,7465,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0,0
23,28 Days Later...,2000s,113,8000000,7.3,24174,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,0,0,0,0
24,3 Women,1970s,124,1500000,7.7,912,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
25,3000 Miles to Graceland,2000s,125,62000000,5.4,7298,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,R,1,0,1,0,0,0,0
26,40 Days and 40 Nights,2000s,96,17000000,5.4,8609,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,R,0,0,1,1,0,1,0
27,42nd Street,1930s,89,439000,7.5,1247,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,0,1,0,1,0
28,"5,000 Fingers of Dr. T., The",1950s,89,1600000,6.7,699,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,,0,0,0,0,0,0,0
29,50 First Dates,2000s,99,75000000,6.8,13497,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,PG-13,0,0,1,0,0,1,0
30,"51st State, The",2000s,92,28000000,6.1,6752,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,1,0,1,0,0,0,0
31,54,1990s,100,13000000,5.4,6905,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,R,0,0,0,1,0,0,0
32,55 Days at Peking,1960s,150,17000000,6.6,700,4.5,4.5,4.5,4.5,4.5,14.5,34.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
33,"6th Day, The",2000s,123,82000000,5.9,12064,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,1,0,0,0,0,0,0
34,"7th Voyage of Sinbad, The",1950s,88,650000,6.9,1224,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,,1,0,0,0,0,0,0
35,8 Mile,2000s,110,41000000,6.8,17900,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,R,0,0,0,1,0,0,0
36,8MM,1990s,123,40000000,5.9,18541,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,0,0,0,0,0
37,AVP: Alien Vs. Predator,2000s,102,45000000,5.4,14651,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,0,0
38,Abandon,2000s,99,25000000,4.7,2364,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,0,1,0,0,0
39,Aberdeen,2000s,106,6500000,7.3,644,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,,0,0,0,1,0,0,0
40,About Schmidt,2000s,125,30000000,7.3,23279,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,R,0,0,1,1,0,0,0
41,About a Boy,2000s,101,27000000,7.5,18318,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,PG-13,0,0,1,1,0,0,0
42,Absolute Power,1990s,121,50000000,6.4,7995,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
43,"Abyss, The",1980s,171,69500000,7.4,21987,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG-13,1,0,0,1,0,0,0
